constraint_name                                                |child_schema|child_table                        |child_column                 |parent_schema|parent_table              |parent_column|
---------------------------------------------------------------+------------+-----------------------------------+-----------------------------+-------------+--------------------------+-------------+
auth_group_permissions_group_id_b120cbf9_fk_auth_group_id      |public      |auth_group_permissions             |group_id                     |public       |auth_group                |id           |
auth_group_permissio_permission_id_84c5c92e_fk_auth_perm       |public      |auth_group_permissions             |permission_id                |public       |auth_permission           |id           |
auth_permission_content_type_id_2f476e4b_fk_django_co          |public      |auth_permission                    |content_type_id              |public       |django_content_type       |id           |
authtoken_token_user_id_35299eff_fk                            |public      |authtoken_token                    |user_id                      |public       |user                      |id           |
booking_assigned_ltm_id_1ca1f99a_fk                            |public      |booking                            |assigned_ltm_id              |public       |user                      |id           |
booking_city_id_d1c257ec_fk                                    |public      |booking                            |city_id                      |public       |city                      |id           |
booking_created_by_id_52d86c6b_fk                              |public      |booking                            |created_by_id                |public       |user                      |id           |
booking_lokafyer_id_c740bcff_fk                                |public      |booking                            |lokafyer_id                  |public       |user                      |id           |
booking_partner_account_id_86d5fcf9_fk                         |public      |booking                            |partner_account_id           |public       |partner_account           |id           |
booking_preferred_language_id_a92490c0_fk                      |public      |booking                            |preferred_language_id        |public       |language                  |id           |
booking_product_id_6387eba4_fk                                 |public      |booking                            |product_id                   |public       |product                   |id           |
booking_selected_language_id_a9d0faa6_fk                       |public      |booking                            |selected_language_id         |public       |language                  |id           |
booking_traveler_id_1cda6647_fk                                |public      |booking                            |traveler_id                  |public       |user                      |id           |
booking_updated_by_id_27a9ed7f_fk                              |public      |booking                            |updated_by_id                |public       |user                      |id           |
booking_languages_booking_id_6718b400_fk                       |public      |booking_languages                  |booking_id                   |public       |booking                   |id           |
booking_languages_language_id_f76702d6_fk                      |public      |booking_languages                  |language_id                  |public       |language                  |id           |
booking_lokafyer_relevancy_booking_id_52f4c8d5_fk              |public      |booking_lokafyer_relevancy         |booking_id                   |public       |booking                   |id           |
